subject_id,subject_name,subject_city,subject_state,subject_year,subject_units,subject_program,rank,comp_id,comp_name,comp_city,comp_state,comp_year,comp_units,comp_program,score
1,Boca Ciega,St. Petersburg,FL,1974,109.0,Layered HUD/LIHTC,1,41,Silver Springs Terrace,Hickory,NC,1971,100.0,Layered HUD/LIHTC,76.35
1,Boca Ciega,St. Petersburg,FL,1974,109.0,Layered HUD/LIHTC,2,15,La Promesa,Odessa,TX,1978,136.0,Layered HUD/LIHTC,70.03
1,Boca Ciega,St. Petersburg,FL,1974,109.0,Layered HUD/LIHTC,3,20,Colonial Estates,Thibodaux,LA,1975,107.0,Section 8/HUD,55.63
2,Jefferson Arms,Monticello,FL,1971,75.0,Section 8/HUD,1,4,Macedonia Garden,Panama City,FL,1969,100.0,Section 8/HUD,87.0
2,Jefferson Arms,Monticello,FL,1971,75.0,Section 8/HUD,2,3,Opa Locka 135th St,Opa Locka,FL,1968,65.0,Section 8/HUD,85.33
2,Jefferson Arms,Monticello,FL,1971,75.0,Section 8/HUD,3,16,New Wilmington Arms,Compton,CA,1973,,Section 8/HUD,72.0
3,Opa Locka 135th St,Opa Locka,FL,1968,65.0,Section 8/HUD,1,4,Macedonia Garden,Panama City,FL,1969,100.0,Section 8/HUD,89.0
3,Opa Locka 135th St,Opa Locka,FL,1968,65.0,Section 8/HUD,2,2,Jefferson Arms,Monticello,FL,1971,75.0,Section 8/HUD,85.33
3,Opa Locka 135th St,Opa Locka,FL,1968,65.0,Section 8/HUD,3,21,Marrero 3,Harvey,LA,1968,173.0,Section 8/HUD,77.51
4,Macedonia Garden,Panama City,FL,1969,100.0,Section 8/HUD,1,3,Opa Locka 135th St,Opa Locka,FL,1968,65.0,Section 8/HUD,89.0
4,Macedonia Garden,Panama City,FL,1969,100.0,Section 8/HUD,2,2,Jefferson Arms,Monticello,FL,1971,75.0,Section 8/HUD,87.0
4,Macedonia Garden,Panama City,FL,1969,100.0,Section 8/HUD,3,21,Marrero 3,Harvey,LA,1968,173.0,Section 8/HUD,77.56
5,Coral Village,Cape Coral,FL,1999,72.0,Section 8/HUD,1,28,Howell Place,Baton Rouge,LA,2001,48.0,Section 8/HUD,75.33
5,Coral Village,Cape Coral,FL,1999,72.0,Section 8/HUD,2,29,Pirates Bend,Baton Rouge,LA,2001,48.0,Section 8/HUD,75.33
5,Coral Village,Cape Coral,FL,1999,72.0,Section 8/HUD,3,27,Pelican Bay,Baton Rouge,LA,2001,152.0,Section 8/HUD,71.47
7,Cumberland,Crystal Springs,MS,1985,68.0,Section 8/HUD,1,30,Anaheim,Anaheim,CA,1980,80.0,Section 8/HUD,67.0
7,Cumberland,Crystal Springs,MS,1985,68.0,Section 8/HUD,2,8,Village Green,Natchez,MS,1977,80.0,Section 8/HUD,65.0
7,Cumberland,Crystal Springs,MS,1985,68.0,Section 8/HUD,3,9,Walnut Hill,Natchez,MS,1975,168.0,Section 8/HUD,48.1
8,Village Green,Natchez,MS,1977,80.0,Section 8/HUD,1,9,Walnut Hill,Natchez,MS,1975,168.0,Section 8/HUD,81.52
8,Village Green,Natchez,MS,1977,80.0,Section 8/HUD,2,30,Anaheim,Anaheim,CA,1980,80.0,Section 8/HUD,78.0
8,Village Green,Natchez,MS,1977,80.0,Section 8/HUD,3,42,Thomasville Church Homes,Thomasville,NC,1975,100.0,Section 8/HUD,78.0
9,Walnut Hill,Natchez,MS,1975,168.0,Section 8/HUD,1,20,Colonial Estates,Thibodaux,LA,1975,107.0,Section 8/HUD,82.74
