date,shift_count,time_clock_ids,clocked_shift_minutes,verified_offsite_minutes_strict_total,inferred_offsite_minutes,review_total_minutes,unknown_location_minutes,onsite_minutes,review_flag_count,date_dt,month,weekday,verified_hhmm,inferred_hhmm,review_hhmm,unknown_hhmm,share_of_review_total_pct
2026-07-13,1,7514525,542.85,233.47,14.43,247.9,246.6,48.35,8,2026-07-13,2026-07,Monday,03:53:28,00:14:26,04:07:54,04:06:36,4.15
2026-05-08,1,7514525,533.07,0.0,198.8,198.8,271.28,62.98,7,2026-05-08,2026-05,Friday,00:00:00,03:18:48,03:18:48,04:31:17,3.33
2026-04-15,1,7514525,548.52,0.0,189.43,189.43,242.13,116.95,17,2026-04-15,2026-04,Wednesday,00:00:00,03:09:26,03:09:26,04:02:08,3.17
2026-06-29,2,7514525,521.57,8.92,145.2,154.12,285.45,82.0,10,2026-06-29,2026-06,Monday,00:08:55,02:25:12,02:34:07,04:45:27,2.58
2026-01-12,1,7514525,779.68,0.0,153.55,153.55,439.05,187.08,19,2026-01-12,2026-01,Monday,00:00:00,02:33:33,02:33:33,07:19:03,2.57
2026-05-11,1,7514525,441.22,0.0,147.0,147.0,214.97,79.25,9,2026-05-11,2026-05,Monday,00:00:00,02:27:00,02:27:00,03:34:58,2.46
2026-07-10,1,7514525,563.33,99.23,22.37,121.6,341.07,100.67,9,2026-07-10,2026-07,Friday,01:39:14,00:22:22,02:01:36,05:41:04,2.04
2026-05-21,2,7514525,779.95,0.0,120.57,120.57,535.47,123.92,11,2026-05-21,2026-05,Thursday,00:00:00,02:00:34,02:00:34,08:55:28,2.02
2026-03-27,1,7514525,584.3,0.0,112.22,112.22,310.55,161.53,10,2026-03-27,2026-03,Friday,00:00:00,01:52:13,01:52:13,05:10:33,1.88
2026-03-13,1,7514525,544.1,0.0,105.1,105.1,380.58,58.42,12,2026-03-13,2026-03,Friday,00:00:00,01:45:06,01:45:06,06:20:35,1.76
2026-04-22,1,7514525,527.65,0.0,105.02,105.02,323.83,98.8,17,2026-04-22,2026-04,Wednesday,00:00:00,01:45:01,01:45:01,05:23:50,1.76
2026-06-25,1,7514525,543.95,0.0,97.92,97.92,277.57,168.47,10,2026-06-25,2026-06,Thursday,00:00:00,01:37:55,01:37:55,04:37:34,1.64
2026-01-28,1,7514525,779.07,0.0,96.62,96.62,651.92,30.53,14,2026-01-28,2026-01,Wednesday,00:00:00,01:36:37,01:36:37,10:51:55,1.62
2026-04-01,1,7514525,575.0,0.0,95.17,95.17,339.23,140.6,15,2026-04-01,2026-04,Wednesday,00:00:00,01:35:10,01:35:10,05:39:14,1.59
2026-05-22,1,7514525,560.95,0.0,89.32,89.32,436.15,35.48,10,2026-05-22,2026-05,Friday,00:00:00,01:29:19,01:29:19,07:16:09,1.5
2026-04-16,1,7514525,779.68,1.13,88.08,89.22,442.75,247.72,15,2026-04-16,2026-04,Thursday,00:01:08,01:28:05,01:29:13,07:22:45,1.49
2026-06-17,1,7514525,779.57,0.0,88.97,88.97,515.18,175.42,6,2026-06-17,2026-06,Wednesday,00:00:00,01:28:58,01:28:58,08:35:11,1.49
2026-03-06,1,7514525,447.6,2.03,84.37,86.4,145.0,216.2,15,2026-03-06,2026-03,Friday,00:02:02,01:24:22,01:26:24,02:25:00,1.45
2026-07-15,1,7514525,506.63,0.0,86.1,86.1,352.88,67.65,5,2026-07-15,2026-07,Wednesday,00:00:00,01:26:06,01:26:06,05:52:53,1.44
2026-04-09,1,7514525,779.82,0.0,85.67,85.67,524.92,169.23,13,2026-04-09,2026-04,Thursday,00:00:00,01:25:40,01:25:40,08:44:55,1.43
