shift_id,time_clock_id,timezone,shift_start_local,shift_end_local,shift_duration_minutes,breadcrumb_event_count,verified_offsite_minutes,inferred_offsite_minutes,unknown_minutes,onsite_minutes,auto_clock_out,start_source,end_source,review_total_minutes,verified_hhmm,inferred_hhmm,review_hhmm,unknown_hhmm,share_of_review_total_pct
6a54ef7133b13abdf1c67b79,7514525,America/Chicago,2026-07-13T09:00:17-05:00,2026-07-13T18:03:08-05:00,542.85,24,233.47,14.43,246.6,48.35,False,mobile,mobile,247.9,03:53:28,00:14:26,04:07:54,04:06:36,4.15
69fde8bb313940f248afb1d2,7514525,America/Chicago,2026-05-08T08:44:27-05:00,2026-05-08T17:37:31-05:00,533.07,141,0.0,198.8,271.28,62.98,False,mobile,mobile,198.8,00:00:00,03:18:48,03:18:48,04:31:17,3.33
69df989e48f8d34582e183f6,7514525,America/Chicago,2026-04-15T08:54:38-05:00,2026-04-15T18:03:09-05:00,548.52,117,0.0,189.43,242.13,116.95,False,mobile,mobile,189.43,00:00:00,03:09:26,03:09:26,04:02:08,3.17
6965026f9a7a557949024b98,7514525,America/Chicago,2026-01-12T08:17:19-06:00,2026-01-12T21:17:00-06:00,779.68,148,0.0,153.55,439.05,187.08,True,mobile,autoClockOut,153.55,00:00:00,02:33:33,02:33:33,07:19:03,2.57
6a01ec17b3b7c9f788798e9d,7514525,America/Chicago,2026-05-11T09:47:50-05:00,2026-05-11T17:09:03-05:00,441.22,84,0.0,147.0,214.97,79.25,False,mobile,mobile,147.0,00:00:00,02:27:00,02:27:00,03:34:58,2.46
6a427ba0afe021504f6e09e1,7514525,America/Chicago,2026-06-29T09:05:20-05:00,2026-06-29T17:20:04-05:00,494.73,114,8.92,129.27,277.58,78.97,False,mobile,mobile,138.19,00:08:55,02:09:16,02:18:11,04:37:35,2.31
6a50f7b5018fa544128cacf8,7514525,America/Chicago,2026-07-10T08:46:29-05:00,2026-07-10T18:09:49-05:00,563.33,49,99.23,22.37,341.07,100.67,False,mobile,mobile,121.60000000000001,01:39:14,00:22:22,02:01:36,05:41:04,2.04
6a0f09563f2d5fba750dd7dc,7514525,America/Chicago,2026-05-21T08:32:06-05:00,2026-05-21T21:32:00-05:00,779.9,120,0.0,120.57,535.42,123.92,True,mobile,autoClockOut,120.57,00:00:00,02:00:34,02:00:34,08:55:25,2.02
69c68a6e15b15efff949dd42,7514525,America/Chicago,2026-03-27T08:47:26-05:00,2026-03-27T18:31:44-05:00,584.3,72,0.0,112.22,310.55,161.53,False,mobile,mobile,112.22,00:00:00,01:52:13,01:52:13,05:10:33,1.88
69b41065897debefb579893c,7514525,America/Chicago,2026-03-13T08:25:57-05:00,2026-03-13T17:30:03-05:00,544.1,94,0.0,105.1,380.58,58.42,False,mobile,mobile,105.1,00:00:00,01:45:06,01:45:06,06:20:35,1.76
69e8d18dd646f510c01769ca,7514525,America/Chicago,2026-04-22T08:47:57-05:00,2026-04-22T17:35:36-05:00,527.65,100,0.0,105.02,323.83,98.8,False,mobile,mobile,105.02,00:00:00,01:45:01,01:45:01,05:23:50,1.76
6a3d2c31a9da877a44314af0,7514525,America/Chicago,2026-06-25T08:25:05-05:00,2026-06-25T17:29:02-05:00,543.95,93,0.0,97.92,277.57,168.47,False,mobile,mobile,97.92,00:00:00,01:37:55,01:37:55,04:37:34,1.64
697a1404eed3907168b04546,7514525,America/Chicago,2026-01-28T07:49:56-06:00,2026-01-28T20:49:00-06:00,779.07,72,0.0,96.62,651.92,30.53,True,mobile,autoClockOut,96.62,00:00:00,01:36:37,01:36:37,10:51:55,1.62
69cd1dd2695ab92ac8941481,7514525,America/Chicago,2026-04-01T08:29:54-05:00,2026-04-01T18:04:54-05:00,575.0,85,0.0,95.17,339.23,140.6,False,mobile,mobile,95.17,00:00:00,01:35:10,01:35:10,05:39:14,1.59
6a105edc87cc45330fc23c59,7514525,America/Chicago,2026-05-22T08:49:16-05:00,2026-05-22T18:10:13-05:00,560.95,71,0.0,89.32,436.15,35.48,False,mobile,mobile,89.32,00:00:00,01:29:19,01:29:19,07:16:09,1.5
69e0ed8f9c880fdfc39f9f11,7514525,America/Chicago,2026-04-16T09:09:19-05:00,2026-04-16T22:09:00-05:00,779.68,119,1.13,88.08,442.75,247.72,True,mobile,autoClockOut,89.21,00:01:08,01:28:05,01:29:13,07:22:45,1.49
6a32a83e62efb1ef8df920dd,7514525,America/Chicago,2026-06-17T08:59:26-05:00,2026-06-17T21:59:00-05:00,779.57,80,0.0,88.97,515.18,175.42,True,mobile,autoClockOut,88.97,00:00:00,01:28:58,01:28:58,08:35:11,1.49
69aafa5d37459196d94e6afe,7514525,America/Chicago,2026-03-06T10:01:33-06:00,2026-03-06T17:29:09-06:00,447.6,101,2.03,84.37,145.0,216.2,False,mobile,mobile,86.4,00:02:02,01:24:22,01:26:24,02:25:00,1.45
6a579368014ea0c967fe99fb,7514525,America/Chicago,2026-07-15T09:04:24-05:00,2026-07-15T17:31:02-05:00,506.63,59,0.0,86.1,352.88,67.65,False,mobile,mobile,86.1,00:00:00,01:26:06,01:26:06,05:52:53,1.44
69d7ad2be53da6c45518fe0f,7514525,America/Chicago,2026-04-09T08:44:11-05:00,2026-04-09T21:44:00-05:00,779.82,108,0.0,85.67,524.92,169.23,True,mobile,autoClockOut,85.67,00:00:00,01:25:40,01:25:40,08:44:55,1.43
