shift_id,time_clock_id,timezone,start_local,end_local,duration_seconds,duration_minutes,classification,evidence_reason,start_event_type,end_event_type,start_state,end_state,start_nearest_fence,end_nearest_fence,start_min_distance_m,end_min_distance_m,duration_hhmm,start_display,end_display
6a54ef7133b13abdf1c67b79,7514525,America/Chicago,2026-07-13T13:11:38-05:00,2026-07-13T17:02:37-05:00,13859,230.98,verified_offsite,explicit_exit_to_enter_chain,geoFence,geoFence,inferred_offsite,onsite,Howell,Howell,253.58,192.6,03:50:59,2026-07-13 01:11 PM UTC-05:00,2026-07-13 05:02 PM UTC-05:00
6a50f7b5018fa544128cacf8,7514525,America/Chicago,2026-07-10T14:31:06-05:00,2026-07-10T16:05:57-05:00,5691,94.85,verified_offsite,explicit_exit_to_enter_chain,motion,geoFence,inferred_offsite,onsite,Howell,Howell,1007.46,191.24,01:34:51,2026-07-10 02:31 PM UTC-05:00,2026-07-10 04:05 PM UTC-05:00
69df989e48f8d34582e183f6,7514525,America/Chicago,2026-04-15T16:50:14-05:00,2026-04-15T17:04:54-05:00,880,14.67,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Pelican,Pelican,2843.61,2825.62,00:14:40,2026-04-15 04:50 PM UTC-05:00,2026-04-15 05:04 PM UTC-05:00
697381c3bf4aa3e697336a20,7514525,America/Chicago,2026-01-23T09:03:19-06:00,2026-01-23T09:17:37-06:00,858,14.3,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Howell,Howell,977.14,875.17,00:14:18,2026-01-23 09:03 AM UTC-06:00,2026-01-23 09:17 AM UTC-06:00
6a58e4c5512c42c63cc11ac1,7514525,America/Chicago,2026-07-16T10:56:26-05:00,2026-07-16T11:10:44-05:00,858,14.3,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Pelican,Pelican,2418.01,2431.55,00:14:18,2026-07-16 10:56 AM UTC-05:00,2026-07-16 11:10 AM UTC-05:00
69a059176085dcd5fb351e79,7514525,America/Chicago,2026-02-26T08:36:20-06:00,2026-02-26T08:50:36-06:00,856,14.27,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Pirates,Pirates,678.18,666.1,00:14:16,2026-02-26 08:36 AM UTC-06:00,2026-02-26 08:50 AM UTC-06:00
6a01ec17b3b7c9f788798e9d,7514525,America/Chicago,2026-05-11T11:56:45-05:00,2026-05-11T12:10:55-05:00,850,14.17,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Pelican,Pelican,2781.36,2832.51,00:14:10,2026-05-11 11:56 AM UTC-05:00,2026-05-11 12:10 PM UTC-05:00
69fde8bb313940f248afb1d2,7514525,America/Chicago,2026-05-08T13:42:13-05:00,2026-05-08T13:56:09-05:00,836,13.93,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Pelican,Pelican,10861.07,10794.46,00:13:56,2026-05-08 01:42 PM UTC-05:00,2026-05-08 01:56 PM UTC-05:00
6a105edc87cc45330fc23c59,7514525,America/Chicago,2026-05-22T11:35:35-05:00,2026-05-22T11:49:30-05:00,835,13.92,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Pelican,Pelican,6871.4,6811.47,00:13:55,2026-05-22 11:35 AM UTC-05:00,2026-05-22 11:49 AM UTC-05:00
6a467367a2a0587697b29733,7514525,America/Chicago,2026-07-02T09:40:34-05:00,2026-07-02T09:54:27-05:00,833,13.88,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Howell,Howell,743.89,745.56,00:13:53,2026-07-02 09:40 AM UTC-05:00,2026-07-02 09:54 AM UTC-05:00
6983538ad2d57634cd4afbb3,7514525,America/Chicago,2026-02-04T14:48:44-06:00,2026-02-04T15:02:07-06:00,803,13.38,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Howell,Howell,462.55,437.87,00:13:23,2026-02-04 02:48 PM UTC-06:00,2026-02-04 03:02 PM UTC-06:00
69c68a6e15b15efff949dd42,7514525,America/Chicago,2026-03-27T09:57:46-05:00,2026-03-27T10:10:57-05:00,791,13.18,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Pirates,Pirates,6522.51,6631.14,00:13:11,2026-03-27 09:57 AM UTC-05:00,2026-03-27 10:10 AM UTC-05:00
69a5ac593f9027f9e11aacd0,7514525,America/Chicago,2026-03-02T13:27:49-06:00,2026-03-02T13:40:59-06:00,790,13.17,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Howell,Howell,3467.1,3462.76,00:13:10,2026-03-02 01:27 PM UTC-06:00,2026-03-02 01:40 PM UTC-06:00
69fde8bb313940f248afb1d2,7514525,America/Chicago,2026-05-08T13:56:09-05:00,2026-05-08T14:09:15-05:00,786,13.1,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Pelican,Pelican,10794.46,10784.03,00:13:06,2026-05-08 01:56 PM UTC-05:00,2026-05-08 02:09 PM UTC-05:00
6a564017fa13e5c3165ad743,7514525,America/Chicago,2026-07-14T11:10:06-05:00,2026-07-14T11:23:02-05:00,776,12.93,inferred_offsite,consecutive_outside_evidence_within_15_minutes,motion,motion,inferred_offsite,inferred_offsite,Pirates,Pirates,754.63,710.74,00:12:56,2026-07-14 11:10 AM UTC-05:00,2026-07-14 11:23 AM UTC-05:00
