Year,Source Entity,Control-List Status,Matched Property or Properties,Source Status,Production Status
2020,Apartment Syndication Inc,Not on controlling property list,,no_federal_k1_detected,No redacted output created
2020,Arbor Crest Housing,Listed property owner,Arbor Crest,ready,Verified _REDACTED.pdf filed
2020,Breckenridge Housing LLC,Listed property owner,Breckenridge Village,no_federal_k1_detected,No redacted output created
2020,GROVE PARK HOUSING LP,Listed property owner,Grove Park Terrace,no_federal_k1_detected,No redacted output created
2020,Gates on Manhattan LP,Listed property owner,The Gates on Manhattan,ready,Verified _REDACTED.pdf filed
2020,Grace Townhomes Housing LP,Listed property owner,Grace Townhomes,ready,Verified _REDACTED.pdf filed
2020,Granite Ridge Housing LP,Listed property owner,Granite Ridge Apartments,ready,Verified _REDACTED.pdf filed
2020,Lexington Housing LLC,Listed property owner,Lexington Arms Apartments,ready,Verified _REDACTED.pdf filed
2020,Marrero 3 LP,Listed property owner,Marrero 3,ready,Verified _REDACTED.pdf filed
2020,NEW CENTURY WYOMING INC,Not on controlling property list,,no_federal_k1_detected,No redacted output created
2020,New Plan Marco LLC,Not on controlling property list,,no_federal_k1_detected,No redacted output created
2020,Oak Hills Housing LP,Listed property owner,Columbia Village Townhomes; Forest View; Oak Hills Apartments,ready,Verified _REDACTED.pdf filed
2020,Pacific Pointe Housing LP,Listed property owner,Pacific Pointe Apartments,ready,Verified _REDACTED.pdf filed
2020,River Pointe Housing LLC,Listed property owner,River Pointe Apartments,no_federal_k1_detected,No redacted output created
2020,Riverchase Housing LP,Listed property owner,Riverchase,ready,Verified _REDACTED.pdf filed
2020,Ruby Diamond Housing LP,Listed property owner,Ruby Diamond Homes,ready,Verified _REDACTED.pdf filed
2020,Silver Spring Housing,Listed property owner,Silver Springs,ready,Verified _REDACTED.pdf filed
2020,St Charles Housing LP,Listed property owner,St. Charles Place,ready,Provisional / review pending
2020,Star Homes GP1 LLC,Not on controlling property list,,source_unavailable,No redacted output created
2020,Star Homes I LP,Listed property owner,Star Homes,ready,Verified _REDACTED.pdf filed
2020,Village Green Housing LP,Listed property owner,Village Green Apartments,no_federal_k1_detected,No redacted output created
2020,Wilmington Arms Housing LP,Listed property owner,Wilmington Arms Apartments,ready,Verified _REDACTED.pdf filed
2020,Windsor Housing LP,Listed property owner,Yorkshire / Windsor Village,ready,Provisional / review pending
2021,Apartment Syndication Inc,Not on controlling property list,,no_federal_k1_detected,No redacted output created
2021,Arbor Crest Housing,Listed property owner,Arbor Crest,ready,Verified _REDACTED.pdf filed
2021,Breckenridge Housing LLC,Listed property owner,Breckenridge Village,no_federal_k1_detected,No redacted output created
2021,CORAL VILLAGE HOUSING LP,Listed property owner,Coral Village Apartments,ready,Provisional / review pending
2021,GROVE PARK HOUSING LP,Listed property owner,Grove Park Terrace,ready,Verified _REDACTED.pdf filed
2021,Gates on Manhattan LP,Listed property owner,The Gates on Manhattan,ready,Verified _REDACTED.pdf filed
2021,Grace Townhomes Housing LP,Listed property owner,Grace Townhomes,ready,Verified _REDACTED.pdf filed
2021,Granite Ridge Housing LP,Listed property owner,Granite Ridge Apartments,ready,Verified _REDACTED.pdf filed
2021,Lexington Housing LLC,Listed property owner,Lexington Arms Apartments,ready,Provisional / review pending
2021,Marrero 3 LP,Listed property owner,Marrero 3,ready,Verified _REDACTED.pdf filed
2021,NEW CENTURY WYOMING INC,Not on controlling property list,,no_federal_k1_detected,No redacted output created
2021,New Plan Marco LLC,Not on controlling property list,,no_federal_k1_detected,No redacted output created
2021,Oak Hills Housing LP,Listed property owner,Columbia Village Townhomes; Forest View; Oak Hills Apartments,ready,Verified _REDACTED.pdf filed
2021,Pacific Pointe Housing LP,Listed property owner,Pacific Pointe Apartments,ready,Verified _REDACTED.pdf filed
2021,River Pointe Housing LLC,Listed property owner,River Pointe Apartments,ready,Verified _REDACTED.pdf filed
2021,Riverchase Housing LP,Listed property owner,Riverchase,ready,Provisional / review pending
2021,Ruby Diamond Housing LP,Listed property owner,Ruby Diamond Homes,ready,Verified _REDACTED.pdf filed
2021,Silver Spring Housing,Listed property owner,Silver Springs,ready,Verified _REDACTED.pdf filed
2021,St Charles Housing LP,Listed property owner,St. Charles Place,ready,Provisional / review pending
2021,Star Homes GP1 LLC,Not on controlling property list,,source_unavailable,No redacted output created
2021,Star Homes I LP,Listed property owner,Star Homes,ready,Verified _REDACTED.pdf filed
2021,Village Green Housing LP,Listed property owner,Village Green Apartments,no_federal_k1_detected,No redacted output created
2021,Wilmington Arms Housing LP,Listed property owner,Wilmington Arms Apartments,ready,Verified _REDACTED.pdf filed
2021,Windsor Housing LP,Listed property owner,Yorkshire / Windsor Village,ready,Provisional / review pending
