Property Number,Property,Property Owner,State,Date Acquired / Status,Expected 2020-2021 Scope
1,Anaheim Gardens Apartments,"ANAHEIM GARDENS HOUSING, LP",California,Pre-2020,"2020 and 2021, subject to source availability"
2,Arbor Crest,"ARBOR CREST HOUSING, LP",Florida,Pre-2020,"2020 and 2021, subject to source availability"
3,Boca Ciega,"BOCA CIEGA PARTNERS TC, LP",Florida,Pre-2020,"2020 and 2021, subject to source availability"
4,Breckenridge Village,"Breckenridge Housing, LLC",Texas,Pre-2020,"2020 and 2021, subject to source availability"
5,Columbia Village Townhomes,"Oak Hills Housing, LP",California,Pre-2020,"2020 and 2021, subject to source availability"
6,Cumberland Apartments,"Cumberland Apartments, LP",Mississippi,Pre-2020,"2020 and 2021, subject to source availability"
7,Fairfax Senior Terrace Apartments,"Fairfax Genesee Partners and Associates, L.P.",California,Pre-2020,"2020 and 2021, subject to source availability"
8,Forest View,"Oak Hills Housing, LP",California,Pre-2020,"2020 and 2021, subject to source availability"
9,Grace Townhomes,"Grace Townhomes Housing, LLC",Texas,Pre-2020,"2020 and 2021, subject to source availability"
10,Granite Ridge Apartments,"GRANITE RIDGE HOUSING, LP",California,Pre-2020,"2020 and 2021, subject to source availability"
40,Grove Park Terrace,"Grove Park Housing, LP",Texas,"July 8, 2020","2020 and 2021, subject to source availability"
11,Holiday Apartments,"Holiday Apartments Housing, LP",Mississippi,Pre-2020,"2020 and 2021, subject to source availability"
12,Jefferson Arms Apartments,"JEFFERSON ARMS APARTMENTS, LLC",Florida,Pre-2020,"2020 and 2021, subject to source availability"
13,Lexington Arms Apartments,"Lexington Housing, LLC",Texas,Pre-2020,"2020 and 2021, subject to source availability"
14,Macedonia,"MACEDONIA APARTMENTS, LLC",Florida,Pre-2020,"2020 and 2021, subject to source availability"
15,Marrero 3,"Marrero 3, LP",Louisiana,Pre-2020,"2020 and 2021, subject to source availability"
16,Midtown Manor Apartments,"MIDTOWN MANOR ASSOCIATES, L.P.",California,Pre-2020,"2020 and 2021, subject to source availability"
17,Oak Hills Apartments,"Oak Hills Housing, LP",California,Pre-2020,"2020 and 2021, subject to source availability"
18,Opa Locka,"OPA LOCKA HOUSING, L.P.",Florida,Pre-2020,"2020 and 2021, subject to source availability"
19,Pacific Pointe Apartments,"PACIFIC POINTE HOUSING, LP",California,Pre-2020,"2020 and 2021, subject to source availability"
20,River Pointe Apartments,"RIVER POINTE HOUSING, LLC",Ohio,Pre-2020,"2020 and 2021, subject to source availability"
21,Ruby Diamond Homes,"RUBY DIAMOND HOUSING, LP",Louisiana,Pre-2020,"2020 and 2021, subject to source availability"
22,Silver Springs,"Silver Springs Housing, LP",North Carolina,Pre-2020,"2020 and 2021, subject to source availability"
23,St. Charles Place,"St. Charles Housing, LP",Louisiana,Pre-2020,"2020 and 2021, subject to source availability"
24,Star Homes,"STAR HOMES I, LP",Louisiana,Pre-2020,"2020 and 2021, subject to source availability"
25,The Gates on Manhattan,"GATES ON MANHATTAN, LP",Louisiana,Pre-2020,"2020 and 2021, subject to source availability"
26,The Thibodaux Apartments,"Thibodaux Housing, LP and KM of Milford, MI, LP (as TIC)",Louisiana,Pre-2020,"2020 and 2021, subject to source availability"
35,Thomasville Church Homes,"Thomasville Church Housing, LLC",North Carolina,"February 11, 2020","2020 and 2021, subject to source availability"
27,Wilmington Arms Apartments,WILMINGTON ARMS HOUSING LP,California,Pre-2020,"2020 and 2021, subject to source availability"
28,Yorkshire / Windsor Village,"WINDSOR HOUSING, LP",Louisiana,Pre-2020,"2020 and 2021, subject to source availability"
29,Village Green Apartments,"VILLAGE GREEN HOUSING, LP",Mississippi,"Pre-2020, sold April 2026","2020 and 2021, subject to source availability"
30,Riverchase,"Riverchase Housing, LP",Georgia,"Pre-2020, sold October 31, 2025","2020 and 2021, subject to source availability"
31,Coral Village Apartments,"CORAL VILLAGE HOUSING, LP",Florida,8/13/2021,"2021 only, subject to source availability"
34,Crossroads of Lee's Summit,"Granite Crossroads of Lee's Summit, LLC and SPE Riverchase Housing, LLC as TIC",Missouri,"April 9, 2026",No 2020/2021 return expected based on acquisition date
32,Granite Bayou Pointe Apartments,"GRANITE BAYOU POINTE, LLC",Louisiana,"April 12, 2023",No 2020/2021 return expected based on acquisition date
36,Granite Howell Place,"GRANITE HOWELL PLACE, LLC",Louisiana,"January 8, 2024",No 2020/2021 return expected based on acquisition date
39,Granite La Promesa,"Granite La Promesa, LLC",Texas,"July 3, 2024",No 2020/2021 return expected based on acquisition date
37,Granite Pelican Bay,"GRANITE PELICAN BAY, LLC",Louisiana,"January 8, 2024",No 2020/2021 return expected based on acquisition date
38,Granite Pirates Bend,"GRANITE PIRATES BEND, LLC",Louisiana,"January 8, 2024",No 2020/2021 return expected based on acquisition date
33,North Pointe Apartments,"NORTH POINTE HOUSING, LP",Louisiana,"April 20, 2022",No 2020/2021 return expected based on acquisition date
41,River Garden Estates,"River Gardens Estates Housing, LP",California,"June 22, 2023",No 2020/2021 return expected based on acquisition date
42,Walnut Hill,"Granite Walnut Hill, LLC",Virginia,"September 5, 2024",No 2020/2021 return expected based on acquisition date
