Subject,File Name,Pass,Exposed Financial Figure,Check Summary,Error
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Arbor_Crest_Housing_LP_2020.pdf,Arbor_Crest_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Gates_on_Manhattan_LP_2020.pdf,Gates_on_Manhattan_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Grace_Townhomes_Housing_LP_2020.pdf,Grace_Townhomes_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Granite_Ridge_Housing_LP_2020.pdf,Granite_Ridge_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Grove_Park_Housing_LP_2020.pdf,Grove_Park_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Lexington_Housing_LLC_2020.pdf,Lexington_Housing_LLC_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Marrero_3_LP_2020.pdf,Marrero_3_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Oak_Hills_Housing_LP_2020.pdf,Oak_Hills_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Pacific_Pointe_Housing_LP_2020.pdf,Pacific_Pointe_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/River_Pointe_Housing_LLC_2020.pdf,River_Pointe_Housing_LLC_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Riverchase_Housing_LP_2020.pdf,Riverchase_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Ruby_Diamond_Housing_LP_2020.pdf,Ruby_Diamond_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Silver_Springs_Housing_LP_2020.pdf,Silver_Springs_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/St_Charles_Housing_LP_2020.pdf,St_Charles_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Star_Homes_I_LP_2020.pdf,Star_Homes_I_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
/home/ubuntu/form1065_redaction/output/2020 Form 1065 Only/Village_Green_Housing_LP_2020.pdf,Village_Green_Housing_LP_2020.pdf,true,NONE,"Pages 1, 4, and 5 passed visual inspection.",
