property,year,status,next_action,source_path
Anaheim Gardens Apartments,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020-2021-Tax Returns/Anaheim Gardens Housing LP Tax Return - 2020/2020 Anaheim Gardens CA Tax Return.pdf"
Anaheim Gardens Apartments,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020-2021-Tax Returns/Anaheim Gardens Housing LP Tax Return - 2020/2020 Anaheim Gardens CA Tax Return.pdf"
Anaheim Gardens Apartments,2022,Complete original source not identified,Locate or upload the complete original return for this property-year,
Anaheim Gardens Apartments,2023,Complete original source not identified,Locate or upload the complete original return for this property-year,
Anaheim Gardens Apartments,2024,Complete original source not identified,Locate or upload the complete original return for this property-year,
Anaheim Gardens Apartments,2025,Complete original source not identified,Locate or upload the complete original return for this property-year,
Arbor Crest,2020,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2020 Form 1065 Only/Arbor_Crest_Housing_LP_2020.pdf"
Arbor Crest,2021,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/2021 Form 1065 Only/Arbor_Crest_Housing_LP_2021.pdf"
Arbor Crest,2022,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Arbor Crest Housing/2022 COMPLETED TAX RETURN PACKAGE/ARBORCREST_V1_ 2022 RETURN.pdf"
Arbor Crest,2023,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Arbor Crest Housing/2023 COMPLETED TAX RETURN PACKAGE/2023 ARBOR CREST HOUSING LP - Alexander Kaushansky.pdf"
Arbor Crest,2024,Original return filed,None,"/Users/brandonrose/Library/CloudStorage/OneDrive-apartmentcorp/MENOWITZ, MARC - COMPLETE/Arbor Crest Housing/2024 COMPLETED TAX RETURN PACKAGE/2024 ARBOR CREST HOUSING LP - Alexander Kaushansky.pdf"
