property,year,needed,next_action
Anaheim Gardens Apartments,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Anaheim Gardens Apartments,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Anaheim Gardens Apartments,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Anaheim Gardens Apartments,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Boca Ciega,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Boca Ciega,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Boca Ciega,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Boca Ciega,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Boca Ciega,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Boca Ciega,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Breckenridge Village,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Breckenridge Village,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Crossroads of Lee's Summit,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Crossroads of Lee's Summit,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Crossroads of Lee's Summit,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Crossroads of Lee's Summit,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Crossroads of Lee's Summit,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Crossroads of Lee's Summit,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Cumberland Apartments,2020,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Cumberland Apartments,2021,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Cumberland Apartments,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Cumberland Apartments,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Cumberland Apartments,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Cumberland Apartments,2025,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Fairfax Senior Terrace Apartments,2022,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Fairfax Senior Terrace Apartments,2023,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
Fairfax Senior Terrace Apartments,2024,Complete original tax-return PDF,Locate or upload the complete original return for this property-year
