report_index,name,report_area,level,product,last_run_date,source_page
1,Active Form,Documents / Management,Property,OneSite,,1
2,Activity,Residents / Management,Property,OneSite,,1
3,Administrative Time Allocation,Facilities / Management,Property,OneSite,,1
4,Affordable Waitlist Summary (OLL),Leads and Leasing / Waitlist,Property,OneSite,07/30/2026 09:05 AM,1
5,After Move in Work Orders,Facilities / Management,Property,OneSite,,1
6,Alabama Rent Roll for Home Properties,Affordable / Tax Credit Program Compliance,Property,OneSite,,1
7,Alabama Tenant Data Collection,Affordable / Tax Credit Program Compliance,Property,OneSite,,1
8,Alaska Program History/Unit Status,Affordable / Tax Credit Program Compliance,Property,OneSite,,1
9,All Insurance Status,Insurance / Management,Property,OneSite,,1
10,All Residents,Residents / Management,Property,OneSite,07/15/2026 07:29 AM,1
11,All Residents (Excel),Residents / Management,Property,OneSite,08/05/2026 09:26 PM,1
12,All Units,Property Information / Management,Property,OneSite,08/10/2026 01:11 PM,1
13,All Units (Excel),Property Information / Management,Property,OneSite,01/27/2026 12:00 PM,1
14,AME Checklist Worksheet,Accounts Receivable / Tasks,Property,OneSite,,1
15,Anico Renters Insurance Status,Insurance / Management,Property,OneSite,,1
16,Apartment Information,Affordable / HUD,Property,OneSite,08/05/2026 09:19 AM,1
17,Applicant Detail,Screening / Client Account Management,Company,LeasingDesk Screening,,1
18,Applicant Roster,Affordable / HUD,Property,OneSite,,1
19,Application Source Analysis,Screening / Client Account Management,Company,LeasingDesk Screening,,1
20,Arizona Exhibit B Household Member Composition,Affordable / Tax Credit Program Compliance,Property,OneSite,,1
21,Arizona Exhibit B Rental Schedule,Affordable / Tax Credit Program Compliance,Property,OneSite,,1
22,Arizona Exhibit C Applicable Fraction Per Building,Affordable / Tax Credit Program Compliance,Property,OneSite,,1
23,Arizona Exhibit D Special Commitments,Affordable / Tax Credit Program Compliance,Property,OneSite,,1
24,Asset List,Facilities / Management,Property,OneSite,,1
25,Availability,Property Information / Management,Property,OneSite,08/13/2026 12:29 AM,1
26,Bank Deposit Details,Accounts Receivable / Management,Property,OneSite,08/13/2026 09:23 AM,1
27,Bank Deposit Details (Excel),Accounts Receivable / Management,Property,OneSite,08/12/2026 01:05 PM,1
28,Bank Deposit Summary,Accounts Receivable / Management,Property,OneSite,08/12/2026 01:14 PM,1
29,Bank Deposit Summary (Excel),Accounts Receivable / Management,Property,OneSite,07/06/2026 02:14 PM,1
30,Batch Reconciliation,Accounts Receivable / Management,Property,OneSite,08/12/2026 06:38 AM,1
31,Box Score,Residents / Management,Property,OneSite,05/20/2026 12:03 PM,1
32,Bulk Resident Service History,Facilities / Management,Property,OneSite,,1
33,Bulk Unit Service History,Facilities / Management,Property,OneSite,,1
34,California Tax Credit Allocation Committee Project Status,Affordable / Tax Credit Program Compliance,Property,OneSite,,1
35,Cash Basis GL Distribution,Accounts Receivable / Management,Property,OneSite,08/13/2026 09:20 AM,1
36,Certification Activity,Affordable / HUD,Property,OneSite,,1
37,Certification Activity,Affordable / Tax Credit,Property,OneSite,,1
38,Certification Details,Affordable / Tax Credit,Property,OneSite,,1
39,Certification Details,Affordable / HUD,Property,OneSite,,1
40,Certifications,Affordable / HUD,Property,OneSite,,1
41,Certifications,Affordable / Tax Credit,Property,OneSite,,1
42,Changed Transactions,Accounts Receivable / Management,Property,OneSite,05/20/2026 12:24 PM,1
43,Charge and Adjustment Journal,Accounts Receivable / Management,Property,OneSite,06/17/2026 12:54 PM,1
44,Chronic Location,Facilities / Management,Property,OneSite,,1
45,Close Period Item Audit,Accounts Receivable / Management,Property,OneSite,,1
46,Closed Make Ready Summary,Facilities / Management,Property,OneSite,,1
47,Closed Requests Summary,Facilities / Management,Property,OneSite,,1
48,Collections,Accounts Receivable / Management,Property,OneSite,05/04/2026 11:38 AM,1
49,Company Settings,Platform / Settings,Company,Unified Settings,,1
50,Compliance Messages,Affordable / Tax Credit,Property,OneSite,,1
51,Active Form,Documents / Management,Property,OneSite,,2
52,Activity,Residents / Management,Property,OneSite,,2
53,Administrative Time Allocation,Facilities / Management,Property,OneSite,,2
54,Affordable Waitlist Summary (OLL),Leads and Leasing / Waitlist,Property,OneSite,07/30/2026 09:05 AM,2
55,After Move in Work Orders,Facilities / Management,Property,OneSite,,2
56,Alabama Rent Roll for Home Properties,Affordable / Tax Credit Program Compliance,Property,OneSite,,2
57,Alabama Tenant Data Collection,Affordable / Tax Credit Program Compliance,Property,OneSite,,2
58,Alaska Program History/Unit Status,Affordable / Tax Credit Program Compliance,Property,OneSite,,2
59,All Insurance Status,Insurance / Management,Property,OneSite,,2
60,All Residents,Residents / Management,Property,OneSite,07/15/2026 07:29 AM,2
61,All Residents (Excel),Residents / Management,Property,OneSite,08/05/2026 09:26 PM,2
62,All Units,Property Information / Management,Property,OneSite,08/10/2026 01:11 PM,2
63,All Units (Excel),Property Information / Management,Property,OneSite,01/27/2026 12:00 PM,2
64,AME Checklist Worksheet,Accounts Receivable / Tasks,Property,OneSite,,2
65,Anico Renters Insurance Status,Insurance / Management,Property,OneSite,,2
66,Apartment Information,Affordable / HUD,Property,OneSite,08/05/2026 09:19 AM,2
67,Applicant Detail,Screening / Client Account Management,Company,LeasingDesk Screening,,2
68,Applicant Roster,Affordable / HUD,Property,OneSite,,2
69,Application Source Analysis,Screening / Client Account Management,Company,LeasingDesk Screening,,2
70,Arizona Exhibit B Household Member Composition,Affordable / Tax Credit Program Compliance,Property,OneSite,,2
71,Arizona Exhibit B Rental Schedule,Affordable / Tax Credit Program Compliance,Property,OneSite,,2
72,Arizona Exhibit C Applicable Fraction Per Building,Affordable / Tax Credit Program Compliance,Property,OneSite,,2
73,Arizona Exhibit D Special Commitments,Affordable / Tax Credit Program Compliance,Property,OneSite,,2
74,Asset List,Facilities / Management,Property,OneSite,,2
75,Availability,Property Information / Management,Property,OneSite,08/13/2026 12:29 AM,2
76,Bank Deposit Details,Accounts Receivable / Management,Property,OneSite,08/13/2026 09:23 AM,2
77,Bank Deposit Details (Excel),Accounts Receivable / Management,Property,OneSite,08/12/2026 01:05 PM,2
78,Bank Deposit Summary,Accounts Receivable / Management,Property,OneSite,08/12/2026 01:14 PM,2
79,Bank Deposit Summary (Excel),Accounts Receivable / Management,Property,OneSite,07/06/2026 02:14 PM,2
80,Batch Reconciliation,Accounts Receivable / Management,Property,OneSite,08/12/2026 06:38 AM,2
81,Box Score,Residents / Management,Property,OneSite,05/20/2026 12:03 PM,2
82,Bulk Resident Service History,Facilities / Management,Property,OneSite,,2
83,Bulk Unit Service History,Facilities / Management,Property,OneSite,,2
84,California Tax Credit Allocation Committee Project Status,Affordable / Tax Credit Program Compliance,Property,OneSite,,2
85,Cash Basis GL Distribution,Accounts Receivable / Management,Property,OneSite,08/13/2026 09:20 AM,2
86,Certification Activity,Affordable / HUD,Property,OneSite,,2
87,Certification Activity,Affordable / Tax Credit,Property,OneSite,,2
88,Certification Details,Affordable / Tax Credit,Property,OneSite,,2
89,Certification Details,Affordable / HUD,Property,OneSite,,2
90,Certifications,Affordable / HUD,Property,OneSite,,2
91,Certifications,Affordable / Tax Credit,Property,OneSite,,2
92,Changed Transactions,Accounts Receivable / Management,Property,OneSite,05/20/2026 12:24 PM,2
93,Charge and Adjustment Journal,Accounts Receivable / Management,Property,OneSite,06/17/2026 12:54 PM,2
94,Chronic Location,Facilities / Management,Property,OneSite,,2
95,Close Period Item Audit,Accounts Receivable / Management,Property,OneSite,,2
96,Closed Make Ready Summary,Facilities / Management,Property,OneSite,,2
97,Closed Requests Summary,Facilities / Management,Property,OneSite,,2
98,Collections,Accounts Receivable / Management,Property,OneSite,05/04/2026 11:38 AM,2
99,Company Settings,Platform / Settings,Company,Unified Settings,,2
100,Compliance Messages,Affordable / Tax Credit,Property,OneSite,,2
101,Concessions,Accounts Receivable / Management,Property,OneSite,,3
102,Concessions Assigned to Residents,Accounts Receivable / Management,Property,OneSite,,3
103,Condition Analysis,Facilities / Management,Property,OneSite,,3
104,Condition Settings,Screening / Client Settings,Company,LeasingDesk Screening,,3
105,Consolidated Average Cycle Time,Facilities / Management,Company,OneSite,,3
106,Consolidated Consumption Log,Facilities / Management,Company,OneSite,,3
107,Consolidated Inspection with Checklist Item Detail,Facilities / Management,Company,OneSite,,3
108,Consolidated Inspections List,Facilities / Management,Company,OneSite,,3
109,Consolidated Mobile Adoption,Facilities / Management,Company,OneSite,,3
110,Consolidated Service Level Agreement (SLA) Compliance,Facilities / Management,Company,OneSite,,3
111,Consolidated Service Request,Facilities / Management,Company,OneSite,,3
112,Consolidated Service Requests Completed by Priority,Facilities / Management,Company,OneSite,,3
113,Consumer Adoption Rent,Leads and Leasing / LOFT Rent Reporting,Company,LeasingDesk Screening,,3
114,Contact Level Details,Residents / Management,Property,OneSite,02/27/2026 01:28 PM,3
115,Contract Information,Affordable / HUD,Property,OneSite,,3
116,Copied File Requests,Documents / Management,Property,OneSite,,3
117,Current Charges Extract,Accounts Receivable / Management,Property,OneSite,05/27/2026 10:38 AM,3
118,Current Renewal Status,Residents / Management,Property,OneSite,,3
119,Current/Former Residents,Affordable / HUD,Property,OneSite,,3
120,Current/Former Residents,Affordable / Tax Credit,Property,OneSite,,3
121,Daily Work Order Summary,Facilities / Management,Property,OneSite,,3
122,Delinquent and Prepaid,Accounts Receivable / Management,Property,OneSite,08/13/2026 07:52 AM,3
123,Delinquent and Prepaid (Excel),Accounts Receivable / Management,Property,OneSite,08/12/2026 05:17 PM,3
124,Demographic Statistics (Excel),Leads and Leasing / Prospect Management,Property,OneSite,,3
125,Demographics,Screening / Client Account Management,Company,LeasingDesk Screening,,3
126,Effective Rent by Lease Term,Accounts Receivable / Management,Property,OneSite,,3
127,Efficiency Summary,Facilities / Management,Property,OneSite,,3
128,Efficiency Summary for Inspections,Facilities / Inspections,Property,OneSite,,3
129,eSignature,Documents / Management,Property,OneSite,,3
130,eSignature Snapshot,Documents / Management,Property,OneSite,,3
131,eSignature Usage,Documents / Management,Property,OneSite,,3
132,Estimated Prepaid Allocations,Accounts Receivable / Management,Property,OneSite,,3
133,Exception Listing,Affordable / Tax Credit,Property,OneSite,,3
134,Fees and Charges at Move In,Accounts Receivable / Management,Property,OneSite,,3
135,Financial Account Ledger,Accounts Receivable / Management,Property,OneSite,,3
136,Florida Program,Affordable / Tax Credit Program Compliance,Property,OneSite,,3
137,Florida USR Complete Extract,Affordable / Tax Credit Program Compliance,Property,OneSite,,3
138,Form Usage,Documents / Management,Property,OneSite,,3
139,Future HAP Adjustments,Affordable / HUD,Property,OneSite,,3
140,General Settings,Screening / Client Settings,Company,LeasingDesk Screening,,3
141,Georgia Occupancy Status,Affordable / Tax Credit Program Compliance,Property,OneSite,,3
142,Georgia Property Status,Affordable / Tax Credit Program Compliance,Property,OneSite,,3
143,Guestcard Summary,Leads and Leasing / Leasing Portals,Property,OneSite,,3
144,HAP Payment Distribution,Affordable / HUD,Property,OneSite,08/04/2026 08:19 AM,3
145,Household Member Listing by Age,Residents / Management,Property,OneSite,,3
146,Household Occupancy,Affordable / HUD,Property,OneSite,,3
147,Household Types,Affordable / Tax Credit,Property,OneSite,,3
148,How Payments and Credits were Applied,Accounts Receivable / Management,Property,OneSite,05/29/2026 10:08 AM,3
149,HUD-HOME Monitoring Checklist 6-D,Affordable / Tax Credit Program Compliance,Property,OneSite,,3
150,Idaho Annual Occupancy,Affordable / Tax Credit Program Compliance,Property,OneSite,,3
151,Minnesota Certificate of Rent Paid (CRP),Residents / Management,Property,OneSite,,4
152,Miscellaneous Income,Accounts Receivable / Management,Property,OneSite,,4
153,Missing Scanned Documents (OFSA),Documents / Management,Property,OneSite,,4
154,Mobile Usage,Facilities / Mobile,Property,OneSite,,4
155,Monthly Activity Summary,Residents / Management,Property,OneSite,02/12/2026 12:28 PM,4
156,Monthly Income Summary,Accounts Receivable / Management,Property,OneSite,06/02/2026 09:00 AM,4
157,Monthly Transaction Summary,Accounts Receivable / Management,Property,OneSite,06/30/2026 10:19 AM,4
158,Move In Log,Documents / Management,Property,OneSite,,4
159,New York Annual Certification Of Compliance,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
160,New York Annual Income Qualified Unit,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
161,New York City HCR Electronic Rent Roll,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
162,New York City HDC Rent Roll,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
163,New York City HPD Electronic Rent Roll,Affordable / HUD,Property,OneSite,,4
164,New York City HPD Electronic Rent Roll,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
165,New York Monthly Project Occupancy,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
166,New York Rent Roll,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
167,Next Annual Recertifications,Affordable / HUD,Property,OneSite,,4
168,Next Annual Recertifications,Affordable / Tax Credit,Property,OneSite,07/13/2026 11:28 AM,4
169,Next Available and Vacant Unit,Affordable / Tax Credit,Property,OneSite,02/12/2026 12:27 PM,4
170,North Carolina USR XML Extract,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
171,Notifications by User,Platform / Users,Company,Unified Platform,,4
172,Ohio Tax Credit Compliance,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
173,On Hold Work Orders,Facilities / Management,Property,OneSite,,4
174,OneSite Unit Status,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
175,Online Lease Summary,Leads and Leasing / Affordable,Property,OneSite,,4
176,Online Service Requests,Facilities / Resident Portals,Property,OneSite,,4
177,Open Requests Summary,Facilities / Management,Property,OneSite,,4
178,Open Transactions,Accounts Receivable / Management,Property,OneSite,,4
179,Open Work Orders,Facilities / Management,Property,OneSite,,4
180,Oregon Streamline,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
181,Oregon Tax Credit Compliance,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
182,Out of Network Turnaround Time,Screening / Client Account Management,Company,LeasingDesk Screening,,4
183,Overdue Service Requests,Facilities / Management,Property,OneSite,,4
184,Override Analysis,Screening / Client Account Management,Company,LeasingDesk Screening,,4
185,Override Details,Screening / Client Account Management,Company,LeasingDesk Screening,,4
186,Override Reason Summary,Screening / Client Account Management,Company,LeasingDesk Screening,,4
187,Packet Content,Documents / Management,Property,OneSite,,4
188,Packet Leasing Summary,Documents / Management,Property,OneSite,,4
189,Parking/Vehicle Identification,Residents / Management,Property,OneSite,,4
190,Parts Expense Summary,Facilities / Management,Property,OneSite,,4
191,Pending Tasks,Residents / Management,Property,OneSite,,4
192,Pennsylvania Rental Schedule for Low Income Market,Affordable / Tax Credit Program Compliance,Property,OneSite,,4
193,"Post Gain, Loss and Vacancy/Preclose Period",Accounts Receivable / Tasks,Property,OneSite,,4
194,Post Late Fees,Accounts Receivable / Tasks,Property,OneSite,,4
195,Post Scheduled Billing,Accounts Receivable / Tasks,Property,OneSite,07/06/2026 08:34 AM,4
196,Prepaid Allocations,Accounts Receivable / Management,Property,OneSite,,4
197,Preview Scheduled Billing,Accounts Receivable / Tasks,Property,OneSite,08/05/2026 07:08 AM,4
198,Primary Advertising Source Evaluation,Leads and Leasing / Prospect Management,Property,OneSite,,4
199,Primary Property Audit,Platform / Users,Company,Unified Platform,,4
200,Printed Service Requests,Facilities / Management,Property,OneSite,,4
201,Process Settings,Platform / Settings,Property,Unified Settings,,5
202,Product Roles and Rights,Platform / Users,Company,Unified Platform,,5
203,Projected Occupancy,Residents / Management,Property,OneSite,,5
204,Property Compliance Summary,Affordable / Tax Credit,Property,OneSite,,5
205,Property Dates,Property Information / Management,Company,OneSite,,5
206,Property Maintenance Cost,Facilities / Management,Property,OneSite,,5
207,Property Settings,Platform / Settings,Property,Unified Settings,,5
208,Prospect Contact Level Details,Leads and Leasing / Prospect Management,Property,OneSite,,5
209,Prospect Follow Up Worksheet,Leads and Leasing / Prospect Management,Property,OneSite,,5
210,Qualified Occupancy Summary per Building,Affordable / Tax Credit,Property,OneSite,,5
211,Reasons for Leasing,Leads and Leasing / Prospect Management,Property,OneSite,,5
212,Reasons for Move Outs,Residents / Management,Property,OneSite,,5
213,Reconciliation Summary,Accounts Receivable / Management,Property,OneSite,04/29/2026 08:02 AM,5
214,Recurring Service Issue,Facilities / Management,Property,OneSite,,5
215,Refund Clearing In Process,Accounts Receivable / Management,Company,OneSite,,5
216,Rent and Concession History by Floor Plan,Accounts Receivable / Management,Property,OneSite,,5
217,Rent Relief,Accounts Receivable / Management,Property,OneSite,,5
218,Rent Roll Detail,Residents / Management,Property,OneSite,08/13/2026 09:13 AM,5
219,Rent Roll Detail (Excel),Residents / Management,Property,OneSite,07/30/2026 08:39 AM,5
220,Rent Roll Detail GPR,Affordable / HUD,Property,OneSite,,5
221,Rent Roll Detail GPR,Affordable / Tax Credit,Property,OneSite,,5
222,Rent Roll Detail GPR (All Programs),Affordable / Management,Property,OneSite,,5
223,Rent Roll Detail Modified (Excel),Residents / Management,Property,OneSite,,5
224,Rentable and Assignable Items,Property Information / Management,Property,OneSite,,5
225,Renters Insurance Status,Insurance / Management,Property,OneSite,,5
226,RentersProtection,Insurance / Management,Property,OneSite,,5
227,Repayment Activity,Affordable / HUD,Property,OneSite,08/06/2026 08:45 AM,5
228,Resident Activity,Residents / Management,Property,OneSite,,5
229,Resident Activity (Excel),Residents / Management,Property,OneSite,,5
230,Resident Balances by Fiscal Period,Accounts Receivable / Management,Property,OneSite,,5
231,Resident Balances by Fiscal Period (Excel),Accounts Receivable / Management,Property,OneSite,,5
232,Resident Birthdays,Residents / Management,Property,OneSite,08/12/2026 06:06 AM,5
233,Resident Demographics,Residents / Management,Property,OneSite,,5
234,Resident Deposit Activity,Accounts Receivable / Management,Property,OneSite,,5
235,Resident Deposit Audit by Fiscal Period,Accounts Receivable / Management,Property,OneSite,,5
236,Resident Deposit Audit by Fiscal Period (PDF),Accounts Receivable / Management,Property,OneSite,,5
237,Resident Information,Affordable / Tax Credit,Property,OneSite,,5
238,Resident Information,Affordable / HUD,Property,OneSite,,5
239,Resident Lease Status Detail,Screening / Client Account Management,Company,LeasingDesk Screening,,5
240,Resident Ledgers,Residents / Management,Property,OneSite,03/04/2026 10:48 AM,5
241,Resident Selection Preferences,Affordable / Waitlist,Property,OneSite,,5
242,Response Time Summary,Facilities / Management,Property,OneSite,,5
243,Results and Decisions,Screening / Client Account Management,Company,LeasingDesk Screening,,5
244,Rhode Island Occupancy,Affordable / Tax Credit Program Compliance,Property,OneSite,,5
245,Scheduled Billing Forecast,Accounts Receivable / Management,Property,OneSite,07/06/2026 09:01 AM,5
246,Score Factor,Screening / Client Account Management,Company,LeasingDesk Screening,,5
247,Score Factor Credit,Screening / Client Account Management,Company,LeasingDesk Screening,,5
248,Score Factor Credit Detail,Screening / Client Account Management,Company,LeasingDesk Screening,,5
249,Score Factor Non-Credit,Screening / Client Account Management,Company,LeasingDesk Screening,,5
250,Score Factor Non-Credit Detail,Screening / Client Account Management,Company,LeasingDesk Screening,,5
251,Scoring Model Settings,Screening / Client Settings,Company,LeasingDesk Screening,,6
252,Scoring Model Settings Detail,Screening / Client Settings,Company,LeasingDesk Screening,,6
253,Screening Settings - LR,Screening / Client Settings,Company,LeasingDesk Screening,,6
254,Service Request Activity,Facilities / Management,Property,OneSite,,6
255,Service Request List,Facilities / Management,Property,OneSite,,6
256,Service Request Performance Detail,Facilities / Management,Property,OneSite,,6
257,Set-Aside Status Detail,Affordable / Tax Credit,Property,OneSite,,6
258,Settings View,Property Information / Management,Property,OneSite,,6
259,South Carolina Quarterly Record Keeping,Affordable / Tax Credit Program Compliance,Property,OneSite,,6
